rental_id,vehicle_id,customer_id,pickup_location_id,return_location_id,handled_by_employee,pickup_date,expected_return_date,actual_return_date,rental_status,daily_rate_applied,total_amount,rental_days,make,model,fuel_type,transmission,category_name,customer_name,membership_type,gender,location_id,pickup_location,pickup_city,rental_month,rental_year,month_name,day_of_week,is_late_return,late_days,revenue_per_day
12,34,618,5,7,25,2024-04-05,2024-04-08,2024-04-07,Completed,4000.0,11400.0,2,Kia,Seltos,Diesel,Manual,Suv,Chasmum Bawa,Silver,Female,5,Pune Station Branch,Pune,2024-04,2024,April,Friday,0,0,5700.0
13,179,590,2,2,9,2024-12-24,2024-12-25,2024-12-25,Completed,2450.0,2450.0,1,Hyundai,Verna,Petrol,Manual,Sedan,Ayush Sodhi,Regular,Male,2,Udaipur City Branch,Udaipur,2024-12,2024,December,Tuesday,0,0,2450.0
14,2,592,9,9,44,2024-09-20,2024-09-23,2024-09-23,Completed,2000.0,5400.0,3,Honda,City,Petrol,Manual,Sedan,Imaran Rama,Gold,Male,9,Ahmedabad Branch,Ahmedabad,2024-09,2024,September,Friday,0,0,1800.0
15,67,876,10,10,50,2025-10-29,2025-11-01,2025-11-01,Completed,8600.0,23220.0,3,BMW,5 Series,Petrol,Manual,Luxury,Vamakshi Deshmukh,Gold,Female,10,Lucknow Branch,Lucknow,2025-10,2025,October,Wednesday,0,0,7740.0
16,143,496,4,4,18,2024-07-02,2024-07-04,2024-07-04,Completed,2400.0,4800.0,2,Honda,City,Petrol,Manual,Sedan,Januja Master,Regular,Female,4,Mumbai Andheri Branch,Mumbai,2024-07,2024,July,Tuesday,0,0,2400.0
17,180,166,5,5,23,2024-08-23,2024-08-24,2024-08-24,Completed,3200.0,3040.0,1,Tata,Nexon EV,Electric,Manual,Electric,Sanaya Kaur,Silver,Female,5,Pune Station Branch,Pune,2024-08,2024,August,Friday,0,0,3040.0
18,38,483,4,4,16,2026-04-03,2026-04-10,2026-04-10,Completed,2500.0,17500.0,7,Honda,City,Petrol,Manual,Sedan,Upma Randhawa,Regular,Female,4,Mumbai Andheri Branch,Mumbai,2026-04,2026,April,Friday,0,0,2500.0
19,153,59,2,2,9,2025-09-20,2025-09-27,2025-09-27,Completed,2550.0,15172.5,7,Hyundai,Verna,Petrol,Manual,Sedan,Chakradhar Sampath,Platinum,Male,2,Udaipur City Branch,Udaipur,2025-09,2025,September,Saturday,0,0,2167.5
20,158,174,2,2,6,2025-06-12,2025-06-16,2025-06-19,Completed,2350.0,8460.0,7,Hyundai,Verna,Petrol,Automatic,Sedan,Ishaan Chana,Gold,Male,2,Udaipur City Branch,Udaipur,2025-06,2025,June,Thursday,1,3,1208.5714285714287
21,133,16,2,2,10,2025-02-19,2025-02-23,2025-02-23,Completed,3500.0,13300.0,4,Mahindra,XUV700,Diesel,Automatic,Suv,Jagvi Tata,Silver,Female,2,Udaipur City Branch,Udaipur,2025-02,2025,February,Wednesday,0,0,3325.0
22,67,180,10,2,50,2025-02-17,2025-02-19,2025-02-19,Completed,8600.0,16340.0,2,BMW,5 Series,Petrol,Manual,Luxury,Joshua Andra,Silver,Male,10,Lucknow Branch,Lucknow,2025-02,2025,February,Monday,0,0,8170.0
23,63,776,1,1,4,2025-07-30,2025-08-01,2025-07-31,Completed,2600.0,5200.0,1,Skoda,Slavia,Petrol,Manual,Sedan,Chandresh Mane,Regular,Male,1,Jaipur Central Hub,Jaipur,2025-07,2025,July,Wednesday,0,0,5200.0
24,3,718,6,6,26,2024-12-27,2025-01-01,2025-01-01,Completed,1800.0,9000.0,5,Hyundai,Verna,Petrol,Automatic,Sedan,Oni Solanki,Regular,Female,6,Bengaluru Whitefield Branch,Bengaluru,2024-12,2024,December,Friday,0,0,1800.0
25,147,276,4,4,17,2024-11-17,2024-11-18,2024-11-18,Completed,3100.0,3100.0,1,Maruti Suzuki,Ertiga,Diesel,Manual,Van,Charan Varty,Regular,Male,4,Mumbai Andheri Branch,Mumbai,2024-11,2024,November,Sunday,0,0,3100.0
26,159,365,4,2,19,2026-05-04,2026-05-05,2026-05-05,Completed,2050.0,1845.0,1,Hyundai,Verna,Petrol,Manual,Sedan,Lavanya Srinivas,Gold,Female,4,Mumbai Andheri Branch,Mumbai,2026-05,2026,May,Monday,0,0,1845.0
27,148,890,5,5,25,2025-05-19,2025-05-21,2025-05-21,Completed,2300.0,4600.0,2,Skoda,Slavia,Petrol,Automatic,Sedan,Girik Chaudry,Regular,Male,5,Pune Station Branch,Pune,2025-05,2025,May,Monday,0,0,2300.0
28,89,404,6,6,29,2025-07-07,2025-07-13,2025-07-12,Completed,2250.0,12150.0,5,Hyundai,Verna,Petrol,Manual,Sedan,Amol Saini,Gold,Male,6,Bengaluru Whitefield Branch,Bengaluru,2025-07,2025,July,Monday,0,0,2430.0
29,26,334,5,5,22,2024-08-03,2024-08-05,2024-08-04,Completed,1950.0,3900.0,1,Hyundai,Verna,Petrol,Automatic,Sedan,Dhruv Prabhakar,Regular,Male,5,Pune Station Branch,Pune,2024-08,2024,August,Saturday,0,0,3900.0
30,108,718,2,2,9,2025-05-25,2025-05-30,2025-06-01,Completed,3800.0,19000.0,7,Hyundai,Kona Electric,Electric,Manual,Electric,Oni Solanki,Regular,Female,2,Udaipur City Branch,Udaipur,2025-05,2025,May,Sunday,1,2,2714.285714285714
31,61,569,3,3,12,2026-01-08,2026-01-11,2026-01-10,Completed,3150.0,8977.5,2,Toyota,Innova Crysta,Diesel,Automatic,Van,Ekanta Chopra,Silver,Female,3,Delhi Airport Branch,New Delhi,2026-01,2026,January,Thursday,0,0,4488.75
33,16,221,5,5,21,2024-04-11,2024-04-16,2024-04-16,Completed,1550.0,7750.0,5,Tata,Tiago,Petrol,Automatic,Hatchback,Bhavna Chand,Regular,Female,5,Pune Station Branch,Pune,2024-04,2024,April,Thursday,0,0,1550.0
34,32,360,6,6,27,2024-12-18,2024-12-24,2024-12-24,Completed,3400.0,18360.0,6,Tata,Nexon EV,Electric,Manual,Electric,Maya Misra,Gold,Female,6,Bengaluru Whitefield Branch,Bengaluru,2024-12,2024,December,Wednesday,0,0,3060.0
35,115,81,7,7,32,2025-11-20,2025-11-22,2025-11-22,Completed,1650.0,2970.0,2,Maruti Suzuki,Swift,Petrol,Automatic,Hatchback,Henry Sani,Gold,Male,7,Chennai Central Branch,Chennai,2025-11,2025,November,Thursday,0,0,1485.0
36,21,166,3,3,13,2026-05-19,2026-05-21,2026-05-20,Completed,1350.0,2565.0,1,Hyundai,i10,Petrol,Manual,Hatchback,Sanaya Kaur,Silver,Female,3,Delhi Airport Branch,New Delhi,2026-05,2026,May,Tuesday,0,0,2565.0
37,116,424,6,6,27,2026-02-04,2026-02-05,2026-02-05,Completed,3800.0,3610.0,1,Toyota,Fortuner,Diesel,Manual,Suv,Aradhana Kant,Silver,Female,6,Bengaluru Whitefield Branch,Bengaluru,2026-02,2026,February,Wednesday,0,0,3610.0
38,102,537,9,5,45,2024-02-25,2024-03-01,2024-02-29,Completed,7000.0,33250.0,4,Audi,A6,Petrol,Automatic,Luxury,Bina Badal,Silver,Female,9,Ahmedabad Branch,Ahmedabad,2024-02,2024,February,Sunday,0,0,8312.5
39,34,540,5,6,23,2025-03-29,2025-04-03,2025-04-03,Completed,4000.0,20000.0,5,Kia,Seltos,Diesel,Manual,Suv,Liam Chacko,Regular,Male,5,Pune Station Branch,Pune,2025-03,2025,March,Saturday,0,0,4000.0
40,153,468,2,2,10,2025-07-06,2025-07-10,2025-07-10,Completed,2550.0,9180.0,4,Hyundai,Verna,Petrol,Manual,Sedan,Samarth Tata,Gold,Male,2,Udaipur City Branch,Udaipur,2025-07,2025,July,Sunday,0,0,2295.0
42,74,481,7,7,34,2026-04-14,2026-04-17,2026-04-17,Completed,2250.0,6750.0,3,Honda,City,Petrol,Manual,Sedan,Keya Varty,Regular,Female,7,Chennai Central Branch,Chennai,2026-04,2026,April,Tuesday,0,0,2250.0
43,144,448,2,2,9,2024-07-12,2024-07-14,2024-07-14,Completed,8950.0,17005.0,2,Mercedes-Benz,E-Class,Petrol,Manual,Luxury,Xalak Kari,Silver,Female,2,Udaipur City Branch,Udaipur,2024-07,2024,July,Friday,0,0,8502.5
44,70,292,4,4,18,2026-04-06,2026-04-10,2026-04-10,Completed,3500.0,14000.0,4,Maruti Suzuki,Ertiga,Diesel,Manual,Van,Harita Shetty,Regular,Female,4,Mumbai Andheri Branch,Mumbai,2026-04,2026,April,Monday,0,0,3500.0
46,27,289,10,10,46,2025-07-01,2025-07-03,2025-07-07,Completed,3400.0,5780.0,6,Hyundai,Kona Electric,Electric,Automatic,Electric,Robert Singhal,Platinum,Male,10,Lucknow Branch,Lucknow,2025-07,2025,July,Tuesday,1,4,963.3333333333334
47,9,339,4,4,17,2025-01-15,2025-01-16,2025-01-16,Completed,5650.0,5650.0,1,BMW,5 Series,Petrol,Manual,Luxury,Nikita Tank,Regular,Female,4,Mumbai Andheri Branch,Mumbai,2025-01,2025,January,Wednesday,0,0,5650.0
48,4,125,1,1,4,2026-04-16,2026-04-26,2026-04-26,Completed,1450.0,13775.0,10,Hyundai,i10,Petrol,Manual,Hatchback,Michael Pillay,Silver,Male,1,Jaipur Central Hub,Jaipur,2026-04,2026,April,Thursday,0,0,1377.5
49,54,485,7,7,33,2025-06-17,2025-06-19,2025-06-19,Completed,3700.0,6660.0,2,Hyundai,Kona Electric,Electric,Manual,Electric,Liam Bhatnagar,Gold,Male,7,Chennai Central Branch,Chennai,2025-06,2025,June,Tuesday,0,0,3330.0
50,171,224,7,7,34,2025-01-04,2025-01-14,2025-01-17,Completed,2200.0,18700.0,13,Skoda,Slavia,Petrol,Manual,Sedan,Atharv Mani,Platinum,Male,7,Chennai Central Branch,Chennai,2025-01,2025,January,Saturday,1,3,1438.4615384615386
51,153,159,2,3,9,2025-12-08,2025-12-10,2025-12-10,Completed,2550.0,4590.0,2,Hyundai,Verna,Petrol,Manual,Sedan,Daniel Dube,Gold,Male,2,Udaipur City Branch,Udaipur,2025-12,2025,December,Monday,0,0,2295.0
52,60,325,3,3,13,2025-07-03,2025-07-17,2025-07-17,Completed,1800.0,21420.0,14,Hyundai,Verna,Petrol,Manual,Sedan,Balveer Krishna,Platinum,Male,3,Delhi Airport Branch,New Delhi,2025-07,2025,July,Thursday,0,0,1530.0
53,11,497,3,3,15,2024-05-17,2024-05-21,2024-05-21,Completed,3300.0,11880.0,4,Mahindra,XUV700,Diesel,Automatic,Suv,Frado Shankar,Gold,Male,3,Delhi Airport Branch,New Delhi,2024-05,2024,May,Friday,0,0,2970.0
54,154,882,6,3,29,2024-10-08,2024-10-11,2024-10-11,Completed,1800.0,5130.0,3,Maruti Suzuki,Swift,Petrol,Automatic,Hatchback,William Mistry,Silver,Male,6,Bengaluru Whitefield Branch,Bengaluru,2024-10,2024,October,Tuesday,0,0,1710.0
55,5,635,10,10,47,2025-01-23,2025-01-29,2025-02-02,Completed,3050.0,16470.0,10,Toyota,Fortuner,Diesel,Manual,Suv,Daksh Sachdeva,Gold,Male,10,Lucknow Branch,Lucknow,2025-01,2025,January,Thursday,1,4,1647.0
57,9,207,4,4,16,2024-05-12,2024-05-13,2024-05-12,Completed,5650.0,5650.0,0,BMW,5 Series,Petrol,Manual,Luxury,Omya Divan,Regular,Female,4,Mumbai Andheri Branch,Mumbai,2024-05,2024,May,Sunday,0,0,5650.0
58,156,736,6,6,27,2024-02-20,2024-02-21,2024-02-21,Completed,3750.0,3750.0,1,Toyota,Fortuner,Diesel,Manual,Suv,Chatresh Bakshi,Regular,Male,6,Bengaluru Whitefield Branch,Bengaluru,2024-02,2024,February,Tuesday,0,0,3750.0
59,15,844,3,3,11,2026-04-21,2026-04-25,2026-04-27,Completed,2050.0,8200.0,6,Honda,City,Petrol,Automatic,Sedan,Kevin Jhaveri,Regular,Male,3,Delhi Airport Branch,New Delhi,2026-04,2026,April,Tuesday,1,2,1366.6666666666667
60,49,198,2,2,7,2024-08-24,2024-08-27,2024-08-27,Completed,2200.0,5610.0,3,Hyundai,Verna,Petrol,Automatic,Sedan,Nidra Tailor,Platinum,Female,2,Udaipur City Branch,Udaipur,2024-08,2024,August,Saturday,0,0,1870.0
61,110,107,10,10,49,2025-04-14,2025-04-15,2025-04-14,Completed,3800.0,3610.0,0,Hyundai,Creta,Diesel,Automatic,Suv,Amruta Kota,Silver,Female,10,Lucknow Branch,Lucknow,2025-04,2025,April,Monday,0,0,3610.0
62,106,783,5,5,23,2024-11-28,2024-12-02,2024-12-02,Completed,2550.0,9690.0,4,Skoda,Slavia,Petrol,Manual,Sedan,Indira Lall,Silver,Female,5,Pune Station Branch,Pune,2024-11,2024,November,Thursday,0,0,2422.5
63,116,459,6,1,28,2024-09-17,2024-09-27,2024-09-27,Completed,3800.0,36100.0,10,Toyota,Fortuner,Diesel,Manual,Suv,Radha Krishnamurthy,Silver,Female,6,Bengaluru Whitefield Branch,Bengaluru,2024-09,2024,September,Tuesday,0,0,3610.0
64,177,843,1,1,5,2026-05-26,2026-05-28,2026-05-28,Completed,2850.0,5130.0,2,Hyundai,Kona Electric,Electric,Manual,Electric,Gavin Gupta,Gold,Male,1,Jaipur Central Hub,Jaipur,2026-05,2026,May,Tuesday,0,0,2565.0
65,150,256,5,5,21,2024-09-28,2024-09-30,2024-09-30,Completed,3250.0,5850.0,2,Maruti Suzuki,Ertiga,Diesel,Automatic,Van,Azaan Seshadri,Gold,Male,5,Pune Station Branch,Pune,2024-09,2024,September,Saturday,0,0,2925.0
66,177,720,1,1,5,2024-06-26,2024-06-29,2024-07-03,Completed,2850.0,8122.5,7,Hyundai,Kona Electric,Electric,Manual,Electric,Raagini Manne,Silver,Female,1,Jaipur Central Hub,Jaipur,2024-06,2024,June,Wednesday,1,4,1160.357142857143
67,112,427,5,5,22,2024-12-22,2024-12-29,2024-12-29,Completed,2650.0,18550.0,7,Mahindra,XUV700,Diesel,Automatic,Suv,Veda Ganguly,Regular,Female,5,Pune Station Branch,Pune,2024-12,2024,December,Sunday,0,0,2650.0
68,82,553,3,3,12,2024-11-08,2024-11-11,2024-11-10,Completed,2950.0,8407.5,2,Hyundai,Creta,Diesel,Automatic,Suv,Isaac Nagy,Silver,Male,3,Delhi Airport Branch,New Delhi,2024-11,2024,November,Friday,0,0,4203.75
69,111,297,2,2,8,2025-05-31,2025-06-05,2025-06-05,Completed,1600.0,6800.0,5,Maruti Suzuki,Swift,Petrol,Automatic,Hatchback,Arjun Narula,Platinum,Male,2,Udaipur City Branch,Udaipur,2025-05,2025,May,Saturday,0,0,1360.0
70,179,134,2,2,7,2025-05-28,2025-06-02,2025-06-02,Completed,2450.0,11025.0,5,Hyundai,Verna,Petrol,Manual,Sedan,Sai Swamy,Gold,Male,2,Udaipur City Branch,Udaipur,2025-05,2025,May,Wednesday,0,0,2205.0
71,69,796,5,5,25,2024-09-09,2024-09-12,2024-09-11,Completed,3350.0,9547.5,2,Hyundai,Kona Electric,Electric,Automatic,Electric,Qushi Pai,Silver,Female,5,Pune Station Branch,Pune,2024-09,2024,September,Monday,0,0,4773.75
72,38,452,4,4,17,2026-04-02,2026-04-03,2026-04-04,Completed,2500.0,2500.0,2,Honda,City,Petrol,Manual,Sedan,Tristan Parsa,Regular,Male,4,Mumbai Andheri Branch,Mumbai,2026-04,2026,April,Thursday,1,1,1250.0
73,74,15,7,7,33,2024-05-31,2024-06-02,2024-06-04,Completed,2250.0,4275.0,4,Honda,City,Petrol,Manual,Sedan,Sai Loyal,Silver,Male,7,Chennai Central Branch,Chennai,2024-05,2024,May,Friday,1,2,1068.75
74,141,495,8,8,36,2025-06-19,2025-06-23,2025-06-23,Completed,1450.0,5800.0,4,Tata,Tiago,Petrol,Manual,Hatchback,Sarthak Sawhney,Regular,Male,8,Hyderabad Hitech Branch,Hyderabad,2025-06,2025,June,Thursday,0,0,1450.0
75,120,671,6,5,28,2026-03-19,2026-03-26,2026-03-30,Completed,3950.0,24885.0,11,Toyota,Fortuner,Diesel,Automatic,Suv,Zilmil Misra,Gold,Female,6,Bengaluru Whitefield Branch,Bengaluru,2026-03,2026,March,Thursday,1,4,2262.2727272727275
77,126,403,8,6,38,2025-06-26,2025-07-01,2025-07-01,Completed,1450.0,7250.0,5,Maruti Suzuki,Swift,Petrol,Manual,Hatchback,Oscar Dubey,Regular,Male,8,Hyderabad Hitech Branch,Hyderabad,2025-06,2025,June,Thursday,0,0,1450.0
78,88,403,8,7,40,2025-07-22,2025-07-26,2025-07-26,Completed,3700.0,14800.0,4,Hyundai,Creta,Diesel,Automatic,Suv,Oscar Dubey,Regular,Male,8,Hyderabad Hitech Branch,Hyderabad,2025-07,2025,July,Tuesday,0,0,3700.0
79,85,460,10,10,47,2024-11-15,2024-11-18,2024-11-18,Completed,3900.0,11115.0,3,Kia,Seltos,Diesel,Automatic,Suv,Guneet Shankar,Silver,Male,10,Lucknow Branch,Lucknow,2024-11,2024,November,Friday,0,0,3705.0
80,145,162,3,3,11,2026-02-27,2026-03-01,2026-03-01,Completed,3250.0,6175.0,2,Toyota,Fortuner,Diesel,Automatic,Suv,Bhavya Majumdar,Silver,Female,3,Delhi Airport Branch,New Delhi,2026-02,2026,February,Friday,0,0,3087.5
81,164,757,1,1,1,2025-02-25,2025-02-27,2025-03-02,Completed,2450.0,4900.0,5,Hyundai,Verna,Petrol,Automatic,Sedan,Oeshi Varkey,Regular,Female,1,Jaipur Central Hub,Jaipur,2025-02,2025,February,Tuesday,1,3,980.0
82,7,368,2,2,7,2024-08-25,2024-08-26,2024-08-26,Completed,3150.0,2835.0,1,Mahindra,XUV700,Diesel,Manual,Suv,Atharv Chaudhry,Gold,Male,2,Udaipur City Branch,Udaipur,2024-08,2024,August,Sunday,0,0,2835.0
83,58,34,10,10,48,2024-05-20,2024-05-22,2024-05-22,Completed,2150.0,4300.0,2,Honda,City,Petrol,Manual,Sedan,Bhavna Balay,Regular,Female,10,Lucknow Branch,Lucknow,2024-05,2024,May,Monday,0,0,2150.0
84,177,333,1,1,4,2026-06-06,2026-06-12,2026-06-16,Completed,2850.0,17100.0,10,Hyundai,Kona Electric,Electric,Manual,Electric,Naksh Nagar,Regular,Male,1,Jaipur Central Hub,Jaipur,2026-06,2026,June,Saturday,1,4,1710.0
85,135,657,5,5,25,2025-08-08,2025-08-14,2025-08-14,Completed,1250.0,7125.0,6,Hyundai,i10,Petrol,Manual,Hatchback,Unnati Mittal,Silver,Other,5,Pune Station Branch,Pune,2025-08,2025,August,Friday,0,0,1187.5
86,100,529,8,8,37,2025-02-09,2025-02-14,2025-02-14,Completed,1400.0,7000.0,5,Tata,Tiago,Petrol,Automatic,Hatchback,Ekiya Dasgupta,Regular,Female,8,Hyderabad Hitech Branch,Hyderabad,2025-02,2025,February,Sunday,0,0,1400.0
87,14,707,9,9,44,2025-03-08,2025-03-11,2025-03-11,Completed,3300.0,9900.0,3,Mahindra,XUV700,Diesel,Manual,Suv,Bhavika Lal,Regular,Female,9,Ahmedabad Branch,Ahmedabad,2025-03,2025,March,Saturday,0,0,3300.0
88,106,332,5,5,25,2025-07-13,2025-07-16,2025-07-15,Completed,2550.0,7650.0,2,Skoda,Slavia,Petrol,Manual,Sedan,Sarthak Sule,Regular,Male,5,Pune Station Branch,Pune,2025-07,2025,July,Sunday,0,0,3825.0
89,32,94,6,6,28,2025-12-29,2025-12-30,2025-12-30,Completed,3400.0,3400.0,1,Tata,Nexon EV,Electric,Manual,Electric,Mekhala Keer,Regular,Female,6,Bengaluru Whitefield Branch,Bengaluru,2025-12,2025,December,Monday,0,0,3400.0
90,169,884,2,2,7,2024-12-09,2024-12-10,2024-12-13,Completed,1550.0,1550.0,4,Maruti Suzuki,Swift,Petrol,Automatic,Hatchback,Siya Krish,Regular,Female,2,Udaipur City Branch,Udaipur,2024-12,2024,December,Monday,1,3,387.5
91,31,135,10,5,46,2024-10-22,2024-11-01,2024-11-01,Completed,2150.0,20425.0,10,Skoda,Slavia,Petrol,Automatic,Sedan,Forum Dixit,Silver,Female,10,Lucknow Branch,Lucknow,2024-10,2024,October,Tuesday,0,0,2042.5
92,154,7,6,6,30,2025-03-28,2025-03-30,2025-03-30,Completed,1800.0,3420.0,2,Maruti Suzuki,Swift,Petrol,Automatic,Hatchback,Kevin Bassi,Silver,Male,6,Bengaluru Whitefield Branch,Bengaluru,2025-03,2025,March,Friday,0,0,1710.0
93,9,684,4,4,18,2024-12-23,2024-12-26,2024-12-30,Completed,5650.0,16102.5,7,BMW,5 Series,Petrol,Manual,Luxury,Adya Kari,Silver,Female,4,Mumbai Andheri Branch,Mumbai,2024-12,2024,December,Monday,1,4,2300.3571428571427
94,117,768,2,2,6,2025-08-09,2025-08-12,2025-08-11,Completed,1750.0,5250.0,2,Maruti Suzuki,Swift,Petrol,Automatic,Hatchback,Eshana Misra,Regular,Female,2,Udaipur City Branch,Udaipur,2025-08,2025,August,Saturday,0,0,2625.0
95,35,125,2,2,10,2024-03-07,2024-03-11,2024-03-11,Completed,3950.0,15010.0,4,Kia,Seltos,Diesel,Automatic,Suv,Michael Pillay,Silver,Male,2,Udaipur City Branch,Udaipur,2024-03,2024,March,Thursday,0,0,3752.5
96,23,496,6,6,28,2025-10-06,2025-10-10,2025-10-10,Completed,2300.0,9200.0,4,Skoda,Slavia,Petrol,Manual,Sedan,Januja Master,Regular,Female,6,Bengaluru Whitefield Branch,Bengaluru,2025-10,2025,October,Monday,0,0,2300.0
97,128,533,8,8,37,2024-05-12,2024-05-16,2024-05-16,Completed,3350.0,12060.0,4,Hyundai,Creta,Diesel,Manual,Suv,Manbir Bhagat,Gold,Male,8,Hyderabad Hitech Branch,Hyderabad,2024-05,2024,May,Sunday,0,0,3015.0
98,31,756,10,10,49,2025-04-21,2025-04-27,2025-04-27,Completed,2150.0,12900.0,6,Skoda,Slavia,Petrol,Automatic,Sedan,Yasti Trivedi,Regular,Female,10,Lucknow Branch,Lucknow,2025-04,2025,April,Monday,0,0,2150.0
99,130,564,9,6,43,2024-09-17,2024-09-19,2024-09-19,Completed,2150.0,4300.0,2,Skoda,Slavia,Petrol,Manual,Sedan,Yoshita Sachar,Regular,Female,9,Ahmedabad Branch,Ahmedabad,2024-09,2024,September,Tuesday,0,0,2150.0
100,122,817,10,10,47,2025-11-19,2025-11-20,2025-11-20,Completed,1700.0,1700.0,1,Maruti Suzuki,Swift,Petrol,Automatic,Hatchback,Tara Pathak,Regular,Female,10,Lucknow Branch,Lucknow,2025-11,2025,November,Wednesday,0,0,1700.0
101,174,324,6,10,28,2024-02-27,2024-03-01,2024-03-01,Completed,1650.0,4950.0,3,Maruti Suzuki,Swift,Petrol,Manual,Hatchback,Isaiah Pal,Regular,Male,6,Bengaluru Whitefield Branch,Bengaluru,2024-02,2024,February,Tuesday,0,0,1650.0
102,156,399,6,5,28,2026-05-12,2026-05-13,2026-05-13,Completed,3750.0,3375.0,1,Toyota,Fortuner,Diesel,Manual,Suv,Raghav Buch,Gold,Male,6,Bengaluru Whitefield Branch,Bengaluru,2026-05,2026,May,Tuesday,0,0,3375.0
103,78,180,10,10,47,2026-04-29,2026-04-30,2026-04-30,Completed,3950.0,3752.5,1,Hyundai,Kona Electric,Electric,Manual,Electric,Joshua Andra,Silver,Male,10,Lucknow Branch,Lucknow,2026-04,2026,April,Wednesday,0,0,3752.5
104,124,751,3,3,13,2024-07-13,2024-07-19,2024-07-19,Completed,6100.0,34770.0,6,BMW,5 Series,Petrol,Manual,Luxury,Tamanna Chanda,Silver,Female,3,Delhi Airport Branch,New Delhi,2024-07,2024,July,Saturday,0,0,5795.0
105,30,5,6,10,26,2025-12-31,2026-01-02,2026-01-02,Completed,3500.0,7000.0,2,Toyota,Fortuner,Diesel,Automatic,Suv,Gauri Sami,Regular,Female,6,Bengaluru Whitefield Branch,Bengaluru,2025-12,2025,December,Wednesday,0,0,3500.0
106,80,655,9,9,42,2024-01-24,2024-01-30,2024-01-29,Completed,3900.0,22230.0,5,Hyundai,Creta,Diesel,Manual,Suv,Jasmit Krishnan,Silver,Female,9,Ahmedabad Branch,Ahmedabad,2024-01,2024,January,Wednesday,0,0,4446.0
107,160,574,1,1,3,2024-10-07,2024-10-10,2024-10-10,Completed,1650.0,4207.5,3,Maruti Suzuki,Swift,Petrol,Manual,Hatchback,Rudra Varghese,Platinum,Male,1,Jaipur Central Hub,Jaipur,2024-10,2024,October,Monday,0,0,1402.5
108,121,692,6,6,26,2024-02-21,2024-02-22,2024-02-26,Completed,1900.0,1805.0,5,Honda,City,Petrol,Automatic,Sedan,Lekha Virk,Silver,Female,6,Bengaluru Whitefield Branch,Bengaluru,2024-02,2024,February,Wednesday,1,4,361.0
