customer_id,full_name,gender,date_of_birth,city,membership_type,join_date,age,age_group,tenure_years
73,Anirudh Chopra,Male,1987-06-09,Ahmedabad,Silver,2024-01-04,39,31-45,2.6
74,Tejas Vaidya,Male,1965-10-17,Jodhpur,Platinum,2025-08-15,60,46-60,1.0
75,Lakshmi Basu,Female,1992-06-26,Udaipur,Regular,2023-01-02,34,31-45,3.6
76,Qabil Sankar,Male,1963-09-28,Bengaluru,Gold,2024-12-08,62,60+,1.7
77,Nirja Dash,Female,1992-12-23,New Delhi,Regular,2023-11-16,33,31-45,2.7
78,Samarth Narain,Male,1978-09-12,Ahmedabad,Silver,2023-11-11,47,46-60,2.7
79,Gopal Salvi,Male,1990-07-06,Surat,Regular,2024-02-08,36,31-45,2.5
80,Matthew Ravi,Male,1985-03-31,Hyderabad,Silver,2023-01-01,41,31-45,3.6
81,Henry Sani,Male,1995-12-13,New Delhi,Gold,2024-10-08,30,21-30,1.8
82,Viraj Sathe,Male,1980-06-27,New Delhi,Silver,2023-08-16,46,46-60,3.0
83,Frado Chad,Male,1973-05-12,Pune,Silver,2024-12-08,53,46-60,1.7
84,Charita Keer,Female,1990-11-13,Ahmedabad,Silver,2023-08-28,35,31-45,2.9
85,Ethan Bakshi,Male,1962-09-02,Pune,Silver,2025-11-13,63,60+,0.7
86,Vedant Sachdeva,Male,2000-06-19,Bengaluru,Regular,2024-09-05,26,21-30,1.9
87,Yachana Ratta,Female,1971-07-28,Lucknow,Platinum,2024-11-29,55,46-60,1.7
88,Chatresh Sandal,Male,1970-06-09,Surat,Gold,2025-05-06,56,46-60,1.2
89,Arya Krish,Female,2001-11-16,Pune,Silver,2023-05-10,24,21-30,3.2
90,Vedika Wali,Female,2005-01-17,Lucknow,Gold,2024-09-26,21,21-30,1.9
91,Yashawini Sandhu,Female,1997-12-19,Lucknow,Silver,2024-08-06,28,21-30,2.0
92,Wazir Sengupta,Male,1972-04-03,Surat,Silver,2023-09-21,54,46-60,2.9
93,Yoshita Sundaram,Female,1988-10-17,New Delhi,Gold,2023-10-20,37,31-45,2.8
94,Mekhala Keer,Female,1972-10-25,Lucknow,Regular,2023-12-07,53,46-60,2.7
95,Ekantika Dora,Female,1970-12-31,Jaipur,Regular,2025-01-09,55,46-60,1.6
96,Azad Sachdeva,Male,1978-12-07,Chennai,Regular,2024-07-31,47,46-60,2.0
97,Bhavani Jhaveri,Female,1998-01-26,Lucknow,Regular,2024-02-19,28,21-30,2.5
98,Sachi Sood,Female,1960-11-08,Surat,Gold,2024-01-10,65,60+,2.6
99,Ubika Yohannan,Female,1994-03-25,Ahmedabad,Silver,2024-08-04,32,31-45,2.0
100,Yagnesh Kanda,Male,1972-11-14,Jodhpur,Regular,2024-06-01,53,46-60,2.2
101,Om Ravel,Male,1993-03-06,New Delhi,Regular,2025-06-14,33,31-45,1.1
102,Agastya Ramesh,Male,1987-03-24,Ahmedabad,Silver,2024-12-07,39,31-45,1.7
103,Tanish Deshmukh,Male,1999-08-07,Surat,Gold,2023-07-13,27,21-30,3.1
104,Sachi Narang,Female,1970-02-11,Pune,Gold,2023-12-15,56,46-60,2.6
105,Maya Sama,Female,1971-12-11,Mumbai,Regular,2023-03-29,54,46-60,3.4
106,Atharv Palla,Male,1970-09-06,Pune,Regular,2023-03-15,55,46-60,3.4
107,Amruta Kota,Female,1969-07-24,Surat,Silver,2023-01-22,57,46-60,3.5
108,Kashvi Date,Female,1981-11-25,Bengaluru,Regular,2023-05-02,44,31-45,3.3
109,Vidhi Kunda,Female,1995-02-06,Surat,Platinum,2023-06-28,31,31-45,3.1
110,Finn Mukhopadhyay,Male,1965-06-15,Jodhpur,Regular,2023-01-28,61,60+,3.5
111,Riya Ranganathan,Female,2002-12-16,Chennai,Gold,2023-07-31,23,21-30,3.0
112,Dalaja Mitra,Female,1998-11-08,New Delhi,Platinum,2024-10-01,27,21-30,1.8
113,Ansh Palan,Male,1984-07-25,Surat,Regular,2024-12-05,42,31-45,1.7
114,Zehaan Om,Male,1961-02-27,Jodhpur,Gold,2024-03-23,65,60+,2.4
115,Chatresh Sant,Male,2003-10-29,Mumbai,Silver,2024-11-07,22,21-30,1.7
116,Ganga Saran,Female,1968-07-07,Ahmedabad,Regular,2024-07-09,58,46-60,2.1
117,Warhi Shroff,Female,1980-03-11,Lucknow,Regular,2025-02-17,46,46-60,1.5
118,Ojasvi Korpal,Female,1997-12-21,Jaipur,Regular,2023-04-03,28,21-30,3.3
119,Keya Shetty,Female,1986-03-27,Jodhpur,Silver,2024-12-12,40,31-45,1.6
120,Akshay Talwar,Male,1998-11-19,Bengaluru,Regular,2023-07-13,27,21-30,3.1
121,Raagini Kuruvilla,Female,1975-11-27,New Delhi,Regular,2025-07-26,50,46-60,1.0
122,Abdul Varughese,Male,2003-04-03,New Delhi,Silver,2023-04-02,23,21-30,3.3
123,Yash Khosla,Male,1991-09-01,Hyderabad,Platinum,2024-11-18,34,31-45,1.7
124,Udarsh Badal,Male,1964-10-11,Pune,Regular,2023-08-25,61,60+,2.9
125,Michael Pillay,Male,1981-11-20,Udaipur,Silver,2024-07-19,44,31-45,2.0
126,Oni Pandey,Female,1992-03-21,Surat,Regular,2023-10-16,34,31-45,2.8
127,Kala Dara,Female,1993-01-18,New Delhi,Platinum,2023-12-03,33,31-45,2.7
128,Gopal Kalita,Male,1993-10-29,Jaipur,Gold,2023-10-22,32,31-45,2.8
129,Harish Hari,Other,1973-12-03,Hyderabad,Regular,2024-01-20,52,46-60,2.5
130,Abhimanyu Walla,Male,1966-04-15,Pune,Silver,2023-02-18,60,46-60,3.5
131,Mugdha Date,Female,1989-04-18,Lucknow,Regular,2025-03-12,37,31-45,1.4
132,Abha Mane,Female,1981-09-18,Bengaluru,Gold,2024-04-14,44,31-45,2.3
133,Atharv Krishnan,Male,2002-12-09,Ahmedabad,Platinum,2024-05-23,23,21-30,2.2
134,Sai Swamy,Male,1963-12-04,New Delhi,Gold,2024-11-01,62,60+,1.8
135,Forum Dixit,Female,1997-02-02,Mumbai,Silver,2025-10-07,29,21-30,0.8
136,Kritika Dani,Female,1985-09-14,Surat,Regular,2024-03-19,40,31-45,2.4
137,Ranveer Seshadri,Male,2001-06-22,New Delhi,Regular,2023-11-13,25,21-30,2.7
138,Michael Bhasin,Male,1988-01-09,Pune,Regular,2025-02-27,38,31-45,1.4
139,Jagvi Lalla,Female,1990-04-23,New Delhi,Gold,2023-06-17,36,31-45,3.1
140,Bishakha Dugar,Female,1960-09-16,Chennai,Silver,2024-04-24,65,60+,2.3
141,Mugdha Bali,Female,1971-01-03,Udaipur,Silver,2025-01-22,55,46-60,1.5
142,Balendra Kaur,Male,2002-03-02,New Delhi,Regular,2025-04-19,24,21-30,1.3
143,Simon Contractor,Male,1985-02-04,Jaipur,Platinum,2024-11-20,41,31-45,1.7
144,Ekavir Bora,Male,1963-04-11,Pune,Regular,2025-04-24,63,60+,1.3
145,Urvashi Dash,Female,1981-09-06,Surat,Regular,2023-11-20,44,31-45,2.7
146,Madhavi Tella,Female,1984-11-21,Bengaluru,Regular,2024-04-11,41,31-45,2.3
147,Upma Naidu,Female,1987-10-04,Udaipur,Regular,2023-01-28,38,31-45,3.5
148,Advaith Luthra,Male,1986-07-10,Jodhpur,Regular,2025-03-23,40,31-45,1.4
149,Wahab Venkataraman,Male,1989-11-28,Surat,Gold,2025-09-02,36,31-45,0.9
150,Urmi Swamy,Female,2004-03-13,Jodhpur,Silver,2024-05-15,22,21-30,2.2
151,Osha Nagi,Female,1990-09-30,Lucknow,Regular,2025-07-02,35,31-45,1.1
152,Samesh Tandon,Male,1973-07-24,Hyderabad,Platinum,2025-10-03,53,46-60,0.8
153,Utkarsh Chakrabarti,Male,1974-09-29,Lucknow,Silver,2023-12-11,51,46-60,2.6
154,Aadi Shere,Male,1979-03-10,Hyderabad,Silver,2023-07-19,47,46-60,3.0
155,Yahvi Sathe,Female,1994-10-16,Mumbai,Gold,2023-08-05,31,31-45,3.0
156,Mitali Sarma,Female,2000-03-24,Lucknow,Silver,2024-05-31,26,21-30,2.2
157,Kashvi Dutt,Female,1974-07-29,Hyderabad,Regular,2023-01-15,52,46-60,3.6
158,Chakradhar Kar,Male,2005-03-29,Lucknow,Regular,2025-08-30,21,21-30,0.9
159,Daniel Dube,Male,1983-01-07,Ahmedabad,Gold,2025-02-02,43,31-45,1.5
160,Sarthak Subramanian,Male,2004-09-13,New Delhi,Silver,2023-09-17,21,21-30,2.9
161,Rehaan Halder,Male,2002-01-27,Udaipur,Silver,2024-06-25,24,21-30,2.1
162,Bhavya Majumdar,Female,1995-05-12,Hyderabad,Silver,2025-06-28,31,31-45,1.1
163,Zehaan Loke,Male,1997-07-07,Jaipur,Silver,2023-10-29,29,21-30,2.8
164,Yash Dixit,Male,1980-09-07,Hyderabad,Silver,2024-05-30,45,31-45,2.2
165,Saanvi Shah,Female,2002-07-27,Jodhpur,Silver,2025-07-15,24,21-30,1.1
166,Sanaya Kaur,Female,1999-02-10,Chennai,Silver,2024-03-13,27,21-30,2.4
167,Warjas Raj,Male,1977-12-18,Mumbai,Regular,2024-12-07,48,46-60,1.7
168,Yachana Bansal,Female,1966-04-09,Bengaluru,Regular,2025-10-25,60,46-60,0.8
169,Daksha Sarraf,Female,1965-01-28,Jaipur,Silver,2025-08-27,61,60+,0.9
170,Eshana Rout,Female,1999-10-13,Hyderabad,Regular,2025-10-30,26,21-30,0.8
171,Wahab Lanka,Male,1975-10-29,New Delhi,Regular,2025-01-07,50,46-60,1.6
172,Omya Walla,Female,1977-09-09,Jodhpur,Platinum,2023-12-04,48,46-60,2.7
173,Anita Biswas,Female,1971-02-26,Chennai,Regular,2024-12-29,55,46-60,1.6
174,Ishaan Chana,Male,1980-02-13,Chennai,Gold,2023-04-15,46,46-60,3.3
175,Tristan Ganesan,Male,1991-10-27,Jodhpur,Silver,2025-08-20,34,31-45,1.0
176,Omaja Bhalla,Female,1973-10-16,Bengaluru,Regular,2024-02-04,52,46-60,2.5
177,Jason Wali,Male,1979-02-18,Chennai,Platinum,2024-12-27,47,46-60,1.6
178,Frederick Gill,Male,1964-02-22,Mumbai,Silver,2025-07-16,62,60+,1.1
179,Yadavi Dhar,Female,1971-01-15,Pune,Gold,2024-11-10,55,46-60,1.7
180,Joshua Andra,Male,2001-01-15,Chennai,Silver,2024-05-10,25,21-30,2.2
181,Farhan Borah,Male,1980-06-20,Mumbai,Gold,2024-01-04,46,46-60,2.6
182,Simon Krishna,Male,1981-02-23,Mumbai,Regular,2023-11-18,45,31-45,2.7
183,Warhi Chhabra,Female,1971-04-07,Udaipur,Silver,2024-09-01,55,46-60,1.9
184,Manbir Bains,Male,2004-08-06,Lucknow,Silver,2024-12-02,22,21-30,1.7
185,Aarna Bawa,Female,2001-07-26,Jaipur,Gold,2025-03-04,25,21-30,1.4
186,Ishwar Pandey,Male,1970-06-12,Lucknow,Regular,2023-07-22,56,46-60,3.0
187,Ekapad Chatterjee,Male,2001-03-30,Surat,Silver,2024-11-19,25,21-30,1.7
188,Urvi Bandi,Female,1986-09-02,Jaipur,Regular,2025-02-18,39,31-45,1.5
189,Manbir Narain,Male,1994-03-24,Mumbai,Regular,2023-07-07,32,31-45,3.1
190,Rajeshri Wali,Female,1983-03-04,New Delhi,Gold,2023-10-18,43,31-45,2.8
191,Kabir Subramaniam,Male,2004-02-14,Surat,Regular,2023-11-11,22,21-30,2.7
192,Deepa Sidhu,Female,2003-12-03,Jodhpur,Silver,2023-05-30,22,21-30,3.2
193,Sneha Pau,Female,1964-08-27,New Delhi,Regular,2024-02-25,61,60+,2.4
194,Jatin Sha,Other,1977-03-06,Chennai,Silver,2025-03-08,49,46-60,1.4
195,Rayaan Prabhu,Male,1965-06-19,Lucknow,Regular,2023-09-07,61,60+,2.9
196,Omisha Kant,Female,1989-09-25,Jodhpur,Gold,2024-11-07,36,31-45,1.7
197,Nidhi Rege,Female,1965-11-03,Jaipur,Silver,2023-02-18,60,46-60,3.5
198,Nidra Tailor,Female,1965-10-25,Jodhpur,Platinum,2023-09-08,60,46-60,2.9
199,Rishi Setty,Male,1977-04-14,Surat,Silver,2025-10-08,49,46-60,0.8
200,Faras Sachdeva,Male,1990-01-23,Chennai,Regular,2025-06-06,36,31-45,1.2
201,Logan Bali,Male,1991-08-27,Mumbai,Silver,2023-08-20,34,31-45,3.0
202,Kamya Patil,Female,1965-01-22,Surat,Regular,2024-12-31,61,60+,1.6
203,Azaan Rao,Male,1973-01-02,Jaipur,Silver,2025-10-28,53,46-60,0.8
204,Chandani Kala,Female,1989-06-20,Ahmedabad,Platinum,2024-09-27,37,31-45,1.9
205,Aryan Nath,Male,1971-07-21,Pune,Regular,2023-05-15,55,46-60,3.2
206,Bakhshi Johal,Male,1986-12-23,Hyderabad,Silver,2025-05-15,39,31-45,1.2
207,Omya Divan,Female,1996-01-30,Surat,Regular,2024-09-26,30,21-30,1.9
208,Eta De,Female,1984-11-24,Chennai,Regular,2025-04-30,41,31-45,1.3
209,Amara Deep,Female,1961-04-05,Udaipur,Silver,2025-04-21,65,60+,1.3
210,Neel Babu,Male,1968-06-06,Surat,Gold,2023-02-25,58,46-60,3.4
211,Zansi Comar,Female,1994-02-22,Mumbai,Regular,2024-05-22,32,31-45,2.2
212,Yashvi Chopra,Female,1980-12-06,Jaipur,Regular,2023-08-24,45,31-45,2.9
213,Matthew Shanker,Male,1989-07-16,Surat,Regular,2023-02-03,37,31-45,3.5
214,Sai Sandhu,Male,1991-06-19,Hyderabad,Platinum,2024-06-06,35,31-45,2.2
215,Bina Buch,Female,1975-02-01,Surat,Silver,2023-06-07,51,46-60,3.2
216,Laksh Nair,Male,1977-09-24,Ahmedabad,Gold,2024-09-28,48,46-60,1.8
217,Utkarsh Tiwari,Male,1987-11-01,Hyderabad,Regular,2023-04-16,38,31-45,3.3
218,Hritik Sani,Male,1980-11-28,Pune,Regular,2023-09-01,45,31-45,2.9
219,Utkarsh Rastogi,Male,1979-04-24,Hyderabad,Gold,2023-04-12,47,46-60,3.3
220,Naksh Kumer,Male,1977-06-08,Hyderabad,Platinum,2023-06-12,49,46-60,3.1
221,Bhavna Chand,Female,1998-01-08,Mumbai,Regular,2023-04-10,28,21-30,3.3
222,Quincy De,Male,1985-08-17,Lucknow,Regular,2024-09-16,40,31-45,1.9
223,Divya Roy,Female,1976-07-02,Jaipur,Silver,2024-12-09,50,46-60,1.7
224,Atharv Mani,Male,1987-08-11,Lucknow,Platinum,2024-01-10,39,31-45,2.6
225,Garima Subramaniam,Female,1970-09-06,Mumbai,Regular,2023-04-26,55,46-60,3.3
226,Dakshesh Mallick,Male,1986-06-04,Mumbai,Regular,2025-05-09,40,31-45,1.2
227,Kiaan Balakrishnan,Male,1968-09-16,Jodhpur,Silver,2025-01-18,57,46-60,1.5
228,Omkaar Panchal,Male,1960-11-12,Hyderabad,Gold,2025-07-15,65,60+,1.1
229,Bhavya Dhar,Female,1993-12-07,Hyderabad,Silver,2025-10-31,32,31-45,0.8
230,Hritik Puri,Male,1979-06-26,Bengaluru,Silver,2023-12-30,47,46-60,2.6
231,Nachiket Nair,Male,1995-07-20,Hyderabad,Silver,2024-08-27,31,31-45,1.9
232,Atharv Dugal,Male,1967-09-04,Jodhpur,Gold,2024-10-19,58,46-60,1.8
233,Madhavi Savant,Female,1990-05-18,Udaipur,Silver,2024-06-01,36,31-45,2.2
234,Triya Mahajan,Female,1970-04-17,Jaipur,Silver,2024-06-29,56,46-60,2.1
235,Tanveer Choudhry,Male,1973-05-03,Mumbai,Gold,2024-12-23,53,46-60,1.6
236,Mitesh Bath,Male,1970-07-07,Mumbai,Regular,2025-11-14,56,46-60,0.7
237,Aarush Jayaraman,Male,1974-02-26,Lucknow,Regular,2023-08-13,52,46-60,3.0
238,Lakshmi Mann,Female,1975-05-11,Hyderabad,Platinum,2023-01-09,51,46-60,3.6
239,Harita Dayal,Female,1977-09-13,Ahmedabad,Regular,2025-01-19,48,46-60,1.5
240,Bimala Ranganathan,Female,1999-05-15,Ahmedabad,Regular,2023-02-15,27,21-30,3.5
241,Veda Brahmbhatt,Female,1999-05-21,Pune,Silver,2024-09-05,27,21-30,1.9
242,Sathvik Mann,Male,1965-10-09,Jodhpur,Gold,2023-01-23,60,46-60,3.5
243,Frederick Sharma,Male,1998-01-12,New Delhi,Platinum,2025-09-06,28,21-30,0.9
244,Tejas Cherian,Male,1971-07-17,New Delhi,Regular,2024-09-19,55,46-60,1.9
245,Rudra Mukherjee,Male,1994-02-25,Pune,Silver,2023-08-24,32,31-45,2.9
246,Brinda Uppal,Female,1989-01-31,Chennai,Regular,2024-07-19,37,31-45,2.0
247,Owen Panchal,Male,1993-04-28,Hyderabad,Platinum,2025-05-22,33,31-45,1.2
248,Kamya Chauhan,Female,1967-03-07,Mumbai,Platinum,2023-07-30,59,46-60,3.0
249,Baljiwan Goel,Male,2003-05-26,Udaipur,Gold,2024-10-30,23,21-30,1.8
250,Vanya Naidu,Female,1999-06-25,Jaipur,Gold,2024-10-29,27,21-30,1.8
251,Thomas Bir,Male,1981-09-10,Ahmedabad,Regular,2024-11-03,44,31-45,1.8
252,Ayaan Pandey,Male,1983-06-03,Surat,Silver,2023-11-27,43,31-45,2.7
253,Anirudh Bhandari,Male,1977-03-08,Chennai,Silver,2023-11-02,49,46-60,2.8
254,Yashica Rajagopalan,Female,1981-05-31,Udaipur,Regular,2024-08-13,45,31-45,2.0
255,Varenya Guha,Female,1975-01-22,Mumbai,Gold,2024-05-21,51,46-60,2.2
256,Azaan Seshadri,Male,1965-04-01,Lucknow,Gold,2025-08-15,61,60+,1.0
257,Brijesh Thaman,Male,1989-08-31,Udaipur,Regular,2023-02-11,36,31-45,3.5
258,Urvashi Viswanathan,Female,1984-02-11,Ahmedabad,Regular,2023-06-19,42,31-45,3.1
259,Megha Ram,Female,1978-12-26,Bengaluru,Regular,2023-12-27,47,46-60,2.6
260,Oliver Bhatti,Male,1975-06-05,New Delhi,Regular,2024-08-17,51,46-60,2.0
261,Meghana Krishnan,Female,1993-02-27,Chennai,Silver,2024-11-30,33,31-45,1.7
262,Osha Bumb,Female,1986-10-24,Lucknow,Regular,2023-05-31,39,31-45,3.2
263,Mohammed Ramanathan,Male,1966-05-24,Chennai,Gold,2025-01-24,60,46-60,1.5
264,Nilima Puri,Female,1989-07-19,Chennai,Silver,2023-12-16,37,31-45,2.6
265,Zansi Chander,Female,1989-08-30,Surat,Regular,2024-03-26,36,31-45,2.4
266,Adya Patil,Female,1974-06-28,Bengaluru,Silver,2025-10-09,52,46-60,0.8
267,Xavier Handa,Male,1970-10-14,Udaipur,Regular,2023-05-27,55,46-60,3.2
268,Manbir Chaudhuri,Male,1983-06-09,Lucknow,Gold,2024-07-28,43,31-45,2.0
269,Om Deep,Male,1987-06-20,Jaipur,Gold,2023-06-14,39,31-45,3.1
270,Gayathri Sarma,Female,1962-07-23,Hyderabad,Gold,2024-01-23,64,60+,2.5
271,Tristan Mane,Male,1994-06-13,Chennai,Regular,2025-04-14,32,31-45,1.3
272,Jagdish More,Male,2004-01-16,Jodhpur,Silver,2025-04-15,22,21-30,1.3
273,Qarin Sastry,Male,1981-05-14,Pune,Gold,2023-10-28,45,31-45,2.8
274,Yashasvi Wable,Female,1979-06-07,Udaipur,Silver,2023-06-22,47,46-60,3.1
275,Ekapad Krishna,Male,1962-12-09,Jodhpur,Regular,2024-05-26,63,60+,2.2
276,Charan Varty,Male,1998-11-22,Bengaluru,Regular,2023-10-31,27,21-30,2.8
277,Laban Sengupta,Male,2001-04-30,Pune,Regular,2023-06-06,25,21-30,3.2
278,Chakradev Kapadia,Male,1997-05-05,Udaipur,Gold,2025-07-31,29,21-30,1.0
279,Sarthak Bera,Male,1978-06-07,Hyderabad,Regular,2024-02-03,48,46-60,2.5
280,Chaitaly Prasad,Female,1970-09-11,Udaipur,Silver,2023-12-06,55,46-60,2.7
281,Oliver Dhingra,Male,1966-10-13,Udaipur,Regular,2023-11-02,59,46-60,2.8
282,Ekiya Singh,Female,1980-10-11,Chennai,Gold,2023-01-06,45,31-45,3.6
283,Aditya Kunda,Male,1970-04-18,Udaipur,Regular,2023-06-09,56,46-60,3.2
284,Dayamai Mani,Female,1971-04-14,Mumbai,Silver,2023-05-10,55,46-60,3.2
285,Ubika Shankar,Female,1963-06-02,Chennai,Regular,2025-06-10,63,60+,1.2
286,Abhiram Varma,Male,1986-06-20,Pune,Regular,2025-02-04,40,31-45,1.5
287,Tanish Agarwal,Male,1988-04-04,Chennai,Regular,2023-09-14,38,31-45,2.9
288,Girik Chada,Male,1984-02-23,Udaipur,Regular,2024-01-20,42,31-45,2.5
289,Robert Singhal,Male,1962-07-20,Surat,Platinum,2024-02-17,64,60+,2.5
